Tipo de Tarefa;Modelo;Comp1;Comp2;Comp3;Comp4;Comp5;Comp6;Comp7;Comp8;Comp9;Comp10;Comp11;Comp12;Comp13;Comp14
AE;fi-ta;va-ca;;;;;;;;;;;;;
CB;apito;tubo;bico;pipa;;;;;;;;;;;
AB;fita;tatu;;;;;;;;;;;;;
CB;bolo;cavalo;tomate;;;;;;;;;;;;
CE;mu-le-ta;pa-to;to-ma-te;a-pi-to;;;;;;;;;;;
AB;bolo;vaca;fita;;;;;;;;;;;;
BE;fi-ta;ta-tu;;;;;;;;;;;;;
AC;apito;bico;pipa;;;;;;;;;;;;
BE;ca-va-lo;lu-va;;;;;;;;;;;;;
CE;fi-ta;vo-vô;;;;;;;;;;;;;
AB;muleta;mala;tomate;apito;;;;;;;;;;;
BC;pato;vaca;;;;;;;;;;;;;
AB;cavalo;luva;vovô;bico;;;;;;;;;;;
AC;bolo;pipa;vovô;;;;;;;;;;;;
CE;pa-to;tu-bo;;;;;;;;;;;;;
AB;apito;tomate;cavalo;bolo;;;;;;;;;;;
AE;ca-va-lo;pa-to;lu-va;tu-bo;;;;;;;;;;;
AE;a-pi-to;fi-ta;;;;;;;;;;;;;
BE;bo-lo;ma-la;;;;;;;;;;;;;
BE;fi-ta;ma-la;;;;;;;;;;;;;
AC;muleta;luva;mala;apito;;;;;;;;;;;
AC;apito;pato;cavalo;bolo;;;;;;;;;;;
BC;fita;tatu;tomate;;;;;;;;;;;;
BC;muleta;mala;;;;;;;;;;;;;
AB;bolo;tubo;;;;;;;;;;;;;
AE;ca-va-lo;bi-co;;;;;;;;;;;;;
AE;fi-ta;va-ca;a-pi-to;ma-la;;;;;;;;;;;
AE;pa-to;ta-tu;;;;;;;;;;;;;
AC;pato;apito;fita;;;;;;;;;;;;
BC;bolo;vaca;cavalo;;;;;;;;;;;;
AE;mu-le-ta;tu-bo;;;;;;;;;;;;;
AE;bo-lo;pa-to;;;;;;;;;;;;;
BE;pa-to;ca-va-lo;;;;;;;;;;;;;
CB;cavalo;fita;vaca;bolo;;;;;;;;;;;
CB;muleta;mala;fita;tomate;;;;;;;;;;;
BE;ca-va-lo;tu-bo;bo-lo;;;;;;;;;;;;
AB;cavalo;tubo;luva;;;;;;;;;;;;
BE;pa-to;va-ca;vo-vô;;;;;;;;;;;;
AC;fita;bolo;tatu;;;;;;;;;;;;
AB;muleta;cavalo;apito;;;;;;;;;;;;
BC;cavalo;tomate;;;;;;;;;;;;;
AC;fita;tubo;luva;vaca;;;;;;;;;;;
AB;pato;vaca;;;;;;;;;;;;;
AC;bolo;luva;bico;tomate;;;;;;;;;;;
BE;a-pi-to;tu-bo;pa-to;;;;;;;;;;;;
CE;a-pi-to;ma-la;;;;;;;;;;;;;
AC;cavalo;tomate;pato;bico;;;;;;;;;;;
AC;muleta;tubo;fita;;;;;;;;;;;;
CB;pato;tubo;tomate;luva;;;;;;;;;;;
AC;pato;apito;muleta;bolo;;;;;;;;;;;
AE;mu-le-ta;vo-vô;ma-la;bo-lo;;;;;;;;;;;
CB;fita;vovô;pipa;;;;;;;;;;;;
AE;pa-to;pi-pa;;;;;;;;;;;;;
CE;ca-va-lo;pi-pa;mu-le-ta;;;;;;;;;;;;
AB;pato;mala;vaca;bolo;;;;;;;;;;;
CE;bo-lo;va-ca;;;;;;;;;;;;;
BE;a-pi-to;fi-ta;;;;;;;;;;;;;
BC;apito;fita;;;;;;;;;;;;;
AE;a-pi-to;bi-co;;;;;;;;;;;;;
BE;bo-lo;vo-vô;;;;;;;;;;;;;
AB;apito;luva;;;;;;;;;;;;;
AC;cavalo;muleta;vaca;;;;;;;;;;;;
BE;mu-le-ta;a-pi-to;;;;;;;;;;;;;
BE;mu-le-ta;lu-va;pi-pa;;;;;;;;;;;;
AB;fita;apito;muleta;;;;;;;;;;;;
AE;bo-lo;bi-co;pi-pa;vo-vô;;;;;;;;;;;
