Tipo de Tarefa;Modelo;Comp1;Comp2;Comp3;Comp4;Comp5;Comp6;Comp7;Comp8;Comp9;Comp10;Comp11;Comp12;Comp13;Comp14
AB;cartoon;sitcom;game show;;;;;;;;;;;;;;;
AB;documentary;game show;the news;;;;;;;;;;;;;;;
AB;soap opera;talk show;documentary;;;;;;;;;;;;;;;
AB;reality show;game show;talk show;;;;;;;;;;;;;;;
AB;talk show;game show;reality show;;;;;;;;;;;;;;;
AB;sitcom;cartoon;the news;;;;;;;;;;;;;;;
AB;game show;documentary;talk show;;;;;;;;;;;;;;;
AB;the news;documentary;sitcom;;;;;;;;;;;;;;;
AC;cartoon;sitcom;game show;;;;;;;;;;;;;;;
AC;documentary;game show;the news;;;;;;;;;;;;;;;
AC;soap opera;talk show;documentary;;;;;;;;;;;;;;;
AC;reality show;game show;talk show;;;;;;;;;;;;;;;
AC;talk show;game show;reality show;;;;;;;;;;;;;;;
AC;sitcom;cartoom;the news;;;;;;;;;;;;;;;
AC;game show;documentary;talk show;;;;;;;;;;;;;;;
AC;the news;documentary;sitcom;;;;;;;;;;;;;;;
CB;cartoon;sitcom;game show;;;;;;;;;;;;;;;
CB;documentary;game show;the news;;;;;;;;;;;;;;;
CB;soap opera;talk show;documentary;;;;;;;;;;;;;;;
CB;reality show;game show;talk show;;;;;;;;;;;;;;;
CB;talk show;game show;reality show;;;;;;;;;;;;;;;
CB;sitcom;cartoon;the news;;;;;;;;;;;;;;;
CB;game show;documentary;talk show;;;;;;;;;;;;;;;
CB;the news;documentary;sitcom;;;;;;;;;;;;;;;
AE;car-toon;rto;om;ca;;;;;;;;;;;;;;;
AE;soap op-er-a;so;ap;;;;;;;;;;;;;;;
AE;doc-u-men-ta-ry;do;cu;;;;;;;;;;;;;;;
AE;re-al-i-ty show;li;rea;;;;;;;;;;;;;;;
AE;talk show;ta;lk;sh;ow;;;;;;;;;;;;;;;
AE;sit-com;si;t;com;;;;;;;;;;;;;;;
AE;game show;ga;sh;me;ow;;;;;;;;;;;;;;;
AE;the news;th;ne;e;ws;;;;;;;;;;;;;;;
BE;car-toon;rto;om;ca;;;;;;;;;;;;;;;
BE;soap op-er-a;so;ap;;;;;;;;;;;;;;;
BE;doc-u-men-ta-ry;do;cu;;;;;;;;;;;;;;;
BE;re-al-i-ty show;li;rea;;;;;;;;;;;;;;;
BE;talk show;ta;lk;sh;ow;;;;;;;;;;;;;;;
BE;sit-com;si;t;com;;;;;;;;;;;;;;;
BE;game show;ga;sh;me;ow;;;;;;;;;;;;;;;
BE;the news;th;ne;e;ws;;;;;;;;;;;;;;;
CE;car-toon;rto;on;ca;;;;;;;;;;;;;;;
CE;soap op-er-a;so;ap;;;;;;;;;;;;;;;
CE;doc-u-men-ta-ry;do;cu;;;;;;;;;;;;;;;
CE;re-al-i-ty show;li;rea;;;;;;;;;;;;;;;
CE;talk show;ta;lk;sh;ow;;;;;;;;;;;;;;;
CE;sit-com;si;t;com;;;;;;;;;;;;;;;
CE;game show;ga;sh;me;ow;;;;;;;;;;;;;;;
CE;the news;th;ne;e;ws;;;;;;;;;;;;;;;
